version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57478398,0.60907245,0.57036799,0.72188801,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054175999,0.055153307,0.053087998,0.057599999,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.039551999,0.039728664,0.038592,0.040768001,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.031679999,0.032195359,0.030944001,0.033631999,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,64,64,128,32,32,64,2,128,-1,0,-1,one-shot,3.264416,3.3613796,2.96064,4.0571518,42.102157,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.136544,0.14066315,0.13481601,0.174336,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.0569601,2.054065,2.022464,2.0732801,66.816538,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.469856,2.5065887,2.215456,2.9230721,55.646545,0,0,0,0,"includes dequant and GEMM"
final,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,64,64,128,32,32,64,2,128,96,12816,0.41666666,steady,2.506016,2.5942202,2.227392,3.2761919,54.843605,1,1,0,0,""
final_cold,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,64,64,128,32,32,64,2,128,96,12816,0.41666666,cold-ish,2.4871039,2.5446043,2.2056961,3.203552,55.260639,1.007604,1.0076041,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
