version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.41283199,0.41706857,0.40992001,0.43401599,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053824,0.053950377,0.052352,0.055167999,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.039487999,0.039642245,0.037503999,0.040800001,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.031392001,0.031796489,0.030015999,0.032832,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,128,64,128,32,64,32,2,128,-1,0,-1,one-shot,2.903264,2.9099844,2.64592,3.1361599,47.33946,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.132512,0.13424176,0.131264,0.141856,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.0573759,2.0562348,2.022624,2.073792,66.803034,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.45632,2.46205,2.226464,2.6798401,55.953195,0,0,0,0,"includes dequant and GEMM"
final,"group-aware V18/V17: compact pair g32, ldmatrix g64, pair g128",4096,4096,4096,128,64,128,32,64,32,2,128,100,12816,0.33333334,steady,2.476192,2.4656928,2.2051201,2.686944,55.504159,1,1,0,0,""
final_cold,"group-aware V18/V17: compact pair g32, ldmatrix g64, pair g128",4096,4096,4096,128,64,128,32,64,32,2,128,100,12816,0.33333334,cold-ish,2.4383039,2.4459825,2.1831679,2.688448,56.366621,1.0155387,1.0155387,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
