version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.65382397,0.64071608,0.57052797,0.72761601,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054687999,0.054843202,0.052928001,0.05728,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.04016,0.039901271,0.038400002,0.040672,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.032256,0.033253282,0.031104,0.032736,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,64,64,128,32,64,32,2,128,-1,0,-1,one-shot,3.311552,3.2944176,2.8898561,3.592128,41.502882,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.135968,0.14371537,0.134976,0.18896,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.0579841,2.0542321,2.0248959,2.067872,66.783292,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.6916161,2.6699767,2.2156799,2.9301119,51.061872,0,0,0,0,"includes dequant and GEMM"
final,"group-aware V17: ldmatrix TMA g32/g64, pair-repack TMA g128",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.5504639,2.5639069,2.155808,2.9002559,53.887825,1,1,0,0,""
final_cold,"group-aware V17: ldmatrix TMA g32/g64, pair-repack TMA g128",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,cold-ish,2.6792319,2.6598747,2.1349759,2.9358079,51.297894,0.95193845,0.95193848,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
