version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.95183998,0.9773984,0.94972801,1.101568,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055936001,0.056585599,0.055551998,0.063455999,0,0,0,0,0,""
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.014688,2.0135264,2.008256,2.0167041,68.21848,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.3561921,2.3459649,2.199008,2.6780479,58.330962,0,0,0,0,"includes dequant and GEMM"
v00,"scalar fused row-packed",4096,4096,4096,32,16,16,1,1,1,1,256,38,0,1,steady,239.95341,243.29646,237.97719,259.86664,0.57277348,1,1,0.015625,0.001620003,""
v01,"pairwise INT4 load + half2 store",4096,4096,4096,32,1,2,1,1,2,1,256,40,0,1,steady,155.58313,155.41414,153.90594,156.30222,0.88337954,1.5422843,1.5422843,0.015625,0.001620003,""
v02,"SIMT CTA-tile-repacked",4096,4096,4096,32,1,2,32,1,2,1,256,48,0,0.83333331,steady,111.65405,112.62624,110.96329,121.44682,1.2309357,1.3934393,2.1490795,0.015625,0.001620003,""
v03,"WMMA Tensor Core, row-packed B",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.8407359,5.893239,5.7587199,6.2270398,23.531102,19.116434,41.082737,0,0,""
v04a,"WMMA tile-repacked 64x128",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.7853122,5.7924347,5.6538558,5.9321918,23.756532,1.0095801,41.476312,0,0,""
v04b,"WMMA tile-repacked 128x64",4096,4096,4096,32,128,64,32,32,32,1,256,72,32768,0.5,steady,5.6800318,5.6164665,5.1994562,5.927072,24.196863,1.0185352,42.245083,0,0,""
v04c,"WMMA tile-repacked 128x128",4096,4096,4096,32,128,128,32,32,32,1,512,64,65536,0.33333334,steady,8.2920961,8.335187,7.7839041,8.9002562,16.574694,0.68499348,28.937606,0,0,""
v05a,"vector B + BK64 barrier reduction",4096,4096,4096,32,64,128,64,32,32,1,256,70,32768,0.5,steady,5.9551678,5.8283491,5.3852482,6.15552,23.078939,1.3924202,40.293309,0,0,""
v05b,"vector B + BK128",4096,4096,4096,32,64,128,128,32,32,1,256,92,49152,0.33333334,steady,5.9442878,5.9403458,5.7254081,6.081728,23.121181,1.0018303,40.367059,0,0,""
v06,"BK64 + 32x64 warp tile",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.1127362,5.0815678,4.6573439,5.4415359,26.881683,1.1626432,46.932485,0,0,""
v07,"BK64 + 32x64 warp + B-reuse grid",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.2791362,5.1589785,4.7380481,5.5138559,26.034364,0.9684797,45.453159,0,0,""
v08a,"128x64 CTA + BK32 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,32,32,64,1,128,96,32768,0.25,steady,8.0771837,7.9668417,7.3720002,8.2482882,17.015702,0.65358625,29.707559,0,0,""
v08b,"128x64 CTA + BK64 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,64,32,64,1,128,122,32768,0.25,steady,5.1677122,5.1921148,4.8406401,5.5873599,26.595706,1.5630096,46.4332,0,0,""
v09s2,"cp.async 2-stage packed-B pipeline",4096,4096,4096,32,64,128,32,32,64,2,128,93,32768,0.25,steady,4.1339521,4.1189213,3.9537599,4.3058882,33.246382,1.2500658,58.044556,0,0,""
v09s3,"cp.async 3-stage packed-B pipeline",4096,4096,4096,32,64,128,32,32,64,3,128,94,32768,0.25,steady,4.1867838,4.1990142,3.981792,4.368928,32.826857,0.98738133,57.31211,0,0,""
v09s4,"cp.async 4-stage packed-B pipeline",4096,4096,4096,32,64,128,32,32,64,4,128,94,32768,0.25,steady,4.2317438,4.1956353,3.9452801,4.3496642,32.478089,0.98937553,56.7032,0,0,""
final,"selected tuned kernel (initially v07)",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.0237122,5.0132895,4.7635841,5.2259841,27.358047,0.84235396,47.764165,0,0,""
final_cold,"selected tuned kernel (initially v07)",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,cold-ish,5.168128,5.1542821,4.842464,5.6115518,26.593566,0.97205645,46.429464,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
