version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.24256,1.1435329,0.95129597,1.279488,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055039998,0.055071998,0.054591998,0.055904001,0,0,0,0,0,""
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.010752,2.0116222,2.010464,2.015296,68.352018,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.5644801,2.5482242,2.480032,2.596704,53.593302,0,0,0,0,"includes dequant and GEMM"
v00,"scalar fused row-packed",4096,4096,4096,32,16,16,1,1,1,1,256,38,0,1,steady,261.46347,261.39755,261.18784,261.65039,0.5256526,1,1,0.015625,0.001620003,""
v01,"pairwise INT4 load + half2 store",4096,4096,4096,32,1,2,1,1,2,1,256,40,0,1,steady,169.07761,169.10629,168.80858,169.39056,0.81287497,1.546411,1.546411,0.015625,0.001620003,""
v02,"SIMT CTA-tile-repacked",4096,4096,4096,32,1,2,32,1,2,1,256,48,0,0.83333331,steady,122.8969,122.99113,122.72512,123.53783,1.1183273,1.3757679,2.1275026,0.015625,0.001620003,""
v03,"WMMA Tensor Core, row-packed B",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.9518399,5.9046974,5.5662718,6.1059198,23.091843,20.648555,43.929856,0,0,""
v04a,"WMMA tile-repacked 64x128",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.7166719,5.8456316,5.6795521,6.0918078,24.041777,1.0411372,45.737008,0,0,""
v04b,"WMMA tile-repacked 128x64",4096,4096,4096,32,128,64,32,32,32,1,256,72,32768,0.5,steady,5.741312,5.7863488,5.657824,5.9080639,23.938597,0.99570828,45.540718,0,0,""
v04c,"WMMA tile-repacked 128x128",4096,4096,4096,32,128,128,32,32,32,1,512,64,65536,0.33333334,steady,8.8256636,8.8562183,8.5451517,9.1489277,15.572648,0.65052469,29.625361,0,0,""
v05a,"vector B + BK64 barrier reduction",4096,4096,4096,32,64,128,64,32,32,1,256,70,32768,0.5,steady,6.2550082,6.1977282,5.9910078,6.4309759,21.972626,1.4109755,41.80066,0,0,""
v05b,"vector B + BK128",4096,4096,4096,32,64,128,128,32,32,1,256,92,49152,0.33333334,steady,6.1766081,6.2020731,6.0970879,6.3675199,22.251526,1.0126931,42.331239,0,0,""
v06,"BK64 + 32x64 warp tile",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.5144639,5.4847293,5.2585602,5.657536,24.923357,1.1200741,47.414123,0,0,""
v07,"BK64 + 32x64 warp + B-reuse grid",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.4364481,5.4946499,5.4093118,5.6414399,25.28102,1.0143505,48.09454,0,0,""
v08a,"128x64 CTA + BK32 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,32,32,64,1,128,96,32768,0.25,steady,8.4507523,8.4480257,8.2683201,8.6812477,16.263517,0.64330937,30.939668,0,0,""
v08b,"128x64 CTA + BK64 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,64,32,64,1,128,122,32768,0.25,steady,5.5894079,5.6027908,5.4274879,5.843616,24.589179,1.5119226,46.778384,0,0,""
final,"selected tuned kernel (initially v07)",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.4681602,5.4768839,5.2253122,5.7097921,25.134405,1.0221734,47.81562,0,0,""
final_cold,"selected tuned kernel (initially v07)",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,cold-ish,5.4951038,5.5035329,5.4128642,5.597568,25.011166,0.9950968,47.58117,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
