version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.956352,1.0077354,0.950912,1.27712,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055872001,0.055995971,0.054559998,0.057023998,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.03664,0.036951043,0.036095999,0.037760001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13888,0.14190431,0.13766401,0.158336,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0549121,2.050746,2.0177281,2.0695679,66.88313,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.4519999,2.4978194,2.218848,3.2387841,56.051778,0,0,0,0,"includes dequant and GEMM"
final,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,32,64,128,32,32,64,2,128,96,14848,0.41666666,steady,2.399648,2.4132011,2.2072001,3.1140161,57.274632,1,1,0,0,""
final_cold,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,32,64,128,32,32,64,2,128,96,14848,0.41666666,cold-ish,2.4012799,2.3975747,2.217984,2.9869759,57.235707,0.99932039,0.99932037,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57196802,0.58306038,0.56979197,0.64639997,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053824,0.054581273,0.053151999,0.055008002,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.037280001,0.037156314,0.036256,0.038208,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13673601,0.13896418,0.134976,0.148608,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.054976,2.0545149,2.0278399,2.068064,66.881051,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.398592,2.4008341,2.2104321,2.807008,57.299847,0,0,0,0,"includes dequant and GEMM"
final,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,64,64,128,32,32,64,2,128,96,14848,0.41666666,steady,2.2292161,2.361161,2.225632,3.182656,61.65349,1,1,0,0,""
final_cold,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,64,64,128,32,32,64,2,128,96,14848,0.41666666,cold-ish,2.410496,2.473006,2.2046721,3.2295041,57.016877,0.92479563,0.9247956,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.412608,0.41515768,0.410368,0.432576,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053824,0.054731511,0.052416001,0.056159999,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.037344001,0.037149105,0.036224,0.038079999,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.132736,0.13561441,0.131456,0.15571199,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.0570879,2.0559545,2.0206399,2.0729921,66.812387,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.4578559,2.4622638,2.2039039,3.1086719,55.91823,0,0,0,0,"includes dequant and GEMM"
final,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,128,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.2756159,2.42909,2.2622399,3.021152,60.396375,1,1,0,0,""
final_cold,"group-aware register MMA: TMA g32/g64, cp.async g128",4096,4096,4096,128,64,128,32,32,64,2,128,94,14848,0.41666666,cold-ish,2.26512,2.3664112,2.2630081,2.8559041,60.676234,1.0046337,1.0046337,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
