version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.072288,1.0975196,0.95347202,1.288416,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055904001,0.056307834,0.054432001,0.057376001,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.041503999,0.041540124,0.039712001,0.042592,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.033440001,0.034345191,0.031904001,0.038656,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,32,64,128,32,64,32,2,128,-1,0,-1,one-shot,3.7297921,3.7478976,3.430336,3.9789441,36.848958,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.138944,0.1425356,0.137632,0.177472,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0575359,2.0583956,2.0216,2.0745921,66.79784,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.4950719,2.4837117,2.2220161,2.7117119,55.084166,0,0,0,0,"includes dequant and GEMM"
final,"group-aware V18/V17: compact pair g32, ldmatrix g64, full-empty g128",4096,4096,4096,32,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.4034879,2.3877683,2.1454079,2.61024,57.183126,1,1,0,0,""
final_cold,"group-aware V18/V17: compact pair g32, ldmatrix g64, full-empty g128",4096,4096,4096,32,64,128,32,64,32,2,128,96,12816,0.41666666,cold-ish,2.356096,2.3546615,2.122752,2.5763841,58.333341,1.0201145,1.0201146,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57407999,0.60506207,0.57001603,0.72121602,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053952001,0.054510452,0.053119998,0.055039998,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.039584,0.040386748,0.038400002,0.040479999,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.031424001,0.032697055,0.030751999,0.032928001,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,64,64,128,32,64,32,2,128,-1,0,-1,one-shot,3.144352,3.1589441,2.891392,3.3757761,43.709787,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.136608,0.13953795,0.13488001,0.17491201,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.058656,2.0599027,2.0329919,2.0761919,66.761496,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.4767361,2.4746428,2.213408,2.7025919,55.491966,0,0,0,0,"includes dequant and GEMM"
final,"group-aware V18/V17: compact pair g32, ldmatrix g64, full-empty g128",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.4128001,2.4055128,2.15552,2.6256959,56.962429,1,1,0,0,""
final_cold,"group-aware V18/V17: compact pair g32, ldmatrix g64, full-empty g128",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,cold-ish,2.369184,2.3736174,2.134016,2.6112001,58.011093,1.0184097,1.0184097,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
