version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.232384,1.1677326,0.95484799,1.292384,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055904001,0.056408867,0.054336,0.059872001,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.041471999,0.041566279,0.039648,0.042879999,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.033440001,0.03429614,0.032063998,0.034527998,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,32,64,128,32,64,32,2,128,-1,0,-1,one-shot,3.926048,3.909054,3.43664,4.1956482,35.006946,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.139808,0.14786847,0.13766401,0.19475199,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0612161,2.060605,2.032768,2.0723841,66.678575,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.652544,2.6497838,2.221504,2.9705601,51.814014,0,0,0,0,"includes dequant and GEMM"
final,"group-aware V18/V17: compact pair g32, ldmatrix g64, pair g128",4096,4096,4096,32,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.587296,2.5825315,2.1248,2.8773119,53.120692,1,1,0,0,""
final_cold,"group-aware V18/V17: compact pair g32, ldmatrix g64, pair g128",4096,4096,4096,32,64,128,32,64,32,2,128,96,12816,0.41666666,cold-ish,2.5972481,2.5753815,2.123776,2.8734081,52.917145,0.9961682,0.99616823,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57644802,0.62379992,0.57017601,0.72716802,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054752,0.055043474,0.052960001,0.056832001,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.040224001,0.040348455,0.038272001,0.042656001,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.032224,0.032363344,0.031136001,0.032512002,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,64,64,128,32,64,32,2,128,-1,0,-1,one-shot,3.3217599,3.3170385,2.8891201,3.593792,41.375342,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.135904,0.14287461,0.134912,0.189408,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.060672,2.0600519,2.032768,2.0736959,66.69618,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.661696,2.6649926,2.21504,2.968256,51.635858,0,0,0,0,"includes dequant and GEMM"
final,"group-aware V18/V17: compact pair g32, ldmatrix g64, pair g128",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.581984,2.5860178,2.1564479,2.8786881,53.229978,1,1,0,0,""
final_cold,"group-aware V18/V17: compact pair g32, ldmatrix g64, pair g128",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,cold-ish,2.6036479,2.6045089,2.134016,2.9347839,52.787073,0.99167943,0.9916794,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.414336,0.42124343,0.411392,0.43904001,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.052864,0.054271176,0.052288,0.054719999,0,0,0,0,0,""
