version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.96047997,1.03108,0.95385599,1.279264,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055615999,0.056822095,0.05424,0.057440002,0,0,0,0,0,""
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0252161,2.0299468,2.0166399,2.0597119,67.863846,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.4296639,2.4056602,2.2152319,2.6963201,56.567064,0,0,0,0,"includes dequant and GEMM"
v10a,"stage2 + A shared stride padding",4096,4096,4096,32,64,128,32,32,64,2,128,93,32768,0.25,steady,3.7519679,3.7541323,3.5190401,4.014688,36.631164,1,1,0,0,""
v10b,"stage2 + B shared stride padding",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,3.088448,3.0933969,2.7692161,3.2696321,44.500976,1.2148392,1.2148392,0,0,""
v10c,"stage2 + A/B shared stride padding",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9305601,2.9015155,2.6423039,3.1338241,46.898527,1.0538764,1.2802904,0,0,""
v11a,"padding sweep A+8 B+16",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.8860481,2.8822577,2.6793921,3.08096,47.621852,1.0154232,1.3000365,0,0,""
v11b,"padding sweep A+16 B+8",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9016321,2.8755114,2.716928,3.0995519,47.366086,0.99462923,1.2930543,0,0,""
v11c,"padding sweep A+16 B+16",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9882879,2.9613843,2.787488,3.2288001,45.992541,0.9710015,1.2555577,0,0,""
v11d,"padding sweep A+8 B+24",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.8318081,2.8112063,2.655328,3.0512321,48.533993,1.0552579,1.3249372,0,0,""
v12a,"padding sweep A+8 B+32",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,3.053056,3.0343692,2.8557439,3.2758081,45.016847,0.92753231,1.2289221,0,0,""
v12b,"padding sweep A+8 B+40",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.8368001,2.8138525,2.6267519,3.096256,48.448586,1.0762323,1.3226057,0,0,""
v12c,"padding sweep A+16 B+24",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9029119,2.8844736,2.699264,3.1435201,47.345203,0.97722569,1.2924842,0,0,""
