version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.95840001,0.95767522,0.954656,0.96025598,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055936001,0.056126736,0.054591998,0.056448001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.138496,0.13851266,0.13776,0.1392,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0515521,2.0488753,2.0176001,2.056288,66.992672,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.24352,2.2429969,2.2397759,2.244864,61.260409,0,0,0,0,"includes dequant and GEMM"
v13p,"persistent 128-CTA grid-stride scheduling",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,3.266016,3.2704253,3.243264,3.2888961,42.081531,1,1,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.6952641,2.6952224,2.688448,2.7005119,50.992759,1.211761,1.211761,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,cold-ish,2.697216,2.7511764,2.690048,3.0280321,50.955857,0.99927634,1.2108841,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57196802,0.57237279,0.569664,0.57353598,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054016002,0.054043826,0.053568002,0.054464001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.136032,0.13684261,0.134976,0.140256,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.0524161,2.0492294,2.027168,2.0577919,66.964469,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.2390399,2.2860823,2.2334721,2.5046401,61.382985,0,0,0,0,"includes dequant and GEMM"
v13p,"persistent 128-CTA grid-stride scheduling",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,steady,3.5833919,3.6300049,3.5753601,3.8684161,38.35443,1,1,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,steady,3.0218561,3.0361631,3.0178239,3.0386879,45.481635,1.1858248,1.1858248,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.0208001,3.020833,3.01472,3.0259521,45.497533,1.0003495,1.1862393,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.41241601,0.41262567,0.41132799,0.41427201,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053952001,0.054369282,0.052352,0.054111999,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.132064,0.1324944,0.131392,0.13395201,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.0524161,2.0533304,2.0482559,2.0639999,66.964469,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.2399681,2.2397354,2.2297921,2.2447679,61.357551,0,0,0,0,"includes dequant and GEMM"
v13p,"persistent 128-CTA grid-stride scheduling",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,steady,3.5650239,3.5658929,3.5506561,3.57744,38.552043,1,1,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,steady,3.0120959,3.0288796,3.0077119,3.0304,45.629009,1.1835692,1.1835692,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.0126719,3.0136087,3.010272,3.016736,45.620285,0.99980879,1.1833429,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
