version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.95500797,0.9565056,0.95484799,0.96201599,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055904001,0.055897601,0.055776,0.055968001,0,0,0,0,0,""
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.013696,2.0145216,2.011616,2.021184,68.252088,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.201792,2.3012481,2.1968639,2.545248,62.421406,0,0,0,0,"includes dequant and GEMM"
v00,"scalar fused row-packed",4096,4096,4096,32,16,16,1,1,1,1,256,38,0,1,steady,237.15788,237.22527,236.80537,237.87949,0.57952513,1,1,0.015625,0.001620003,""
v01,"pairwise INT4 load + half2 store",4096,4096,4096,32,1,2,1,1,2,1,256,40,0,1,steady,153.22058,153.41264,153.12025,154.21658,0.8970006,1.54782,1.54782,0.015625,0.001620003,""
v02,"SIMT CTA-tile-repacked",4096,4096,4096,32,1,2,32,1,2,1,256,48,0,0.83333331,steady,110.82973,110.87052,110.59376,111.28656,1.2400911,1.3824863,2.13984,0.015625,0.001620003,""
v03,"WMMA Tensor Core, row-packed B",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.5124159,5.4240122,5.1662078,5.6361599,24.932617,20.105473,43.022495,0,0,""
v04a,"WMMA tile-repacked 64x128",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.2727361,5.2978368,5.0562239,5.5002561,26.065965,1.0454564,44.978144,0,0,""
v04b,"WMMA tile-repacked 128x64",4096,4096,4096,32,128,64,32,32,32,1,256,72,32768,0.5,steady,5.224,5.253293,5.202816,5.3964801,26.309141,1.0093293,45.397757,0,0,""
v04c,"WMMA tile-repacked 128x128",4096,4096,4096,32,128,128,32,32,32,1,512,64,65536,0.33333334,steady,8.1471996,8.1977148,8.0176001,8.407712,16.869472,0.64120191,29.109129,0,0,""
final,"WMMA tile-repacked + 64-bit B vector loads",4096,4096,4096,32,64,128,32,32,32,1,256,64,32768,0.5,steady,5.096736,5.1341567,4.783392,5.8416958,26.966073,1.5985132,46.531326,0,0,""
final_cold,"WMMA tile-repacked + 64-bit B vector loads",4096,4096,4096,32,64,128,32,32,32,1,256,64,32768,0.5,cold-ish,5.2050238,5.1690879,4.8332801,5.3146558,26.405058,0.97919554,45.563266,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
