version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.234944,1.120928,0.95110399,1.281056,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054591998,0.0547552,0.054400001,0.056000002,0,0,0,0,0,""
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.01648,2.0169282,2.0123839,2.0240321,68.157857,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.513088,2.5105376,2.207648,2.7621441,54.689272,0,0,0,0,"includes dequant and GEMM"
v00,"scalar fused row-packed",4096,4096,4096,32,16,16,1,1,1,1,256,38,0,1,steady,264.31763,263.59247,261.00528,265.60071,0.5199765,1,1,0.015625,0.001620003,""
v01,"pairwise INT4 load + half2 store",4096,4096,4096,32,1,2,1,1,2,1,256,40,0,1,steady,170.93689,170.96794,169.82663,172.37657,0.80403331,1.5462878,1.5462878,0.015625,0.001620003,""
v02,"SIMT CTA-tile-repacked",4096,4096,4096,32,1,2,32,1,2,1,256,48,0,0.83333331,steady,122.65744,123.04791,122.29178,124.12003,1.1205105,1.3936121,2.1549253,0.015625,0.001620003,""
v03,"WMMA Tensor Core, row-packed B",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.8852801,5.9104033,5.749824,6.1379199,23.353001,20.841394,44.911648,0,0,""
v04a,"WMMA tile-repacked 64x128",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.7990718,5.7863131,5.6658239,5.9735041,23.700164,1.0148659,45.579299,0,0,""
v04b,"WMMA tile-repacked 128x64",4096,4096,4096,32,128,64,32,32,32,1,256,72,32768,0.5,steady,5.862432,5.84727,5.6717758,6.0004802,23.444017,0.98919216,45.086685,0,0,""
v04c,"WMMA tile-repacked 128x128",4096,4096,4096,32,128,128,32,32,32,1,512,64,65536,0.33333334,steady,8.8291197,8.8223896,8.5803204,9.0482883,15.566552,0.66398828,29.937031,0,0,""
v05a,"vector B + BK64 barrier reduction",4096,4096,4096,32,64,128,64,32,32,1,256,70,32768,0.5,steady,6.1571522,6.1345024,6.0010562,6.283072,22.321838,1.4339616,42.928552,0,0,""
v05b,"vector B + BK128",4096,4096,4096,32,64,128,128,32,32,1,256,92,49152,0.33333334,steady,6.3768959,6.3322625,6.1094079,6.865088,21.552642,0.96554064,41.449262,0,0,""
v06,"BK64 + 32x64 warp tile",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.395936,5.4557471,5.3058562,5.7476158,25.470827,1.1817961,48.984574,0,0,""
v07,"BK64 + 32x64 warp + B-reuse grid",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.5518079,5.5743489,5.4504318,5.728416,24.755711,0.97192412,47.609289,0,0,""
v08a,"128x64 CTA + BK32 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,32,32,64,1,128,96,32768,0.25,steady,8.4301443,8.4441929,8.2386236,8.7243843,16.303274,0.65856617,31.353867,0,0,""
v08b,"128x64 CTA + BK64 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,64,32,64,1,128,122,32768,0.25,steady,5.517664,5.554739,5.3899841,5.80688,24.908902,1.5278466,47.903901,0,0,""
v09s2,"cp.async 2-stage packed-B pipeline",4096,4096,4096,32,64,128,32,32,64,2,128,93,32768,0.25,steady,4.2255039,4.2090621,4.0573759,4.4553919,32.52605,1.3058002,62.552924,0,0,""
v09s3,"cp.async 3-stage packed-B pipeline",4096,4096,4096,32,64,128,32,32,64,3,128,93,32768,0.25,steady,4.3367038,4.330688,4.1803842,4.6056318,31.692032,0.97435844,60.94897,0,0,""
v09s4,"cp.async 4-stage packed-B pipeline",4096,4096,4096,32,64,128,32,32,64,4,128,93,32768,0.25,steady,4.2376642,4.2206335,4.1073279,4.3070078,32.432714,1.0233713,62.373424,0,0,""
v10a,"stage2 + A shared stride padding",4096,4096,4096,32,64,128,32,32,64,2,128,93,32768,0.25,steady,3.7794881,3.7932258,3.763232,3.847872,36.364436,1.121227,69.934769,0,0,""
v10b,"stage2 + B shared stride padding",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,3.1532481,3.1453633,3.023936,3.294688,43.58647,1.1986016,83.823924,0,0,""
v10c,"stage2 + A/B shared stride padding",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9625919,2.9812448,2.8692479,3.1613121,46.391457,1.0643545,89.218373,0,0,""
v11a,"padding sweep A+8 B+16",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9762559,3.0175424,2.8970561,3.299968,46.178473,0.99540899,88.808771,0,0,""
v11b,"padding sweep A+16 B+8",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,3.0235519,3.0728607,2.8766401,3.2681279,45.456125,0.98435746,87.419575,0,0,""
v11c,"padding sweep A+16 B+16",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,3.1956799,3.2065506,3.0529921,3.448544,43.007735,0.9461373,82.710921,0,0,""
v11d,"padding sweep A+8 B+24",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.977952,3.0030143,2.7912641,3.1702399,46.152172,1.0731133,88.758189,0,0,""
v12a,"padding sweep A+8 B+32",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,3.1847041,3.19928,3.101536,3.4400959,43.155958,0.93507966,82.995978,0,0,""
v12b,"padding sweep A+8 B+40",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.97808,2.983952,2.919872,3.093184,46.150188,1.0693816,88.754373,0,0,""
v12c,"padding sweep A+16 B+24",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,3.042304,3.052253,2.9790721,3.199296,45.175943,0.97888968,86.88074,0,0,""
final,"selected cp.async 2-stage fused kernel",4096,4096,4096,32,64,128,32,32,64,2,128,93,32768,0.25,steady,4.2923198,4.2950106,4.1661758,4.495904,32.019738,0.70877852,61.579202,0,0,""
