version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.224512,1.1270273,0.95609599,1.275072,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054752,0.0548128,0.054528002,0.055135999,0,0,0,0,0,""
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.019712,2.0194144,2.01648,2.0220799,68.048789,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.5249281,2.5240035,2.2081599,2.8149121,54.432819,0,0,0,0,"includes dequant and GEMM"
v00,"scalar fused row-packed",4096,4096,4096,32,16,16,1,1,1,1,256,38,0,1,steady,244.24179,244.81213,242.75056,249.17284,0.56271678,1,1,0.015625,0.001620003,""
v01,"pairwise INT4 load + half2 store",4096,4096,4096,32,1,2,1,1,2,1,256,40,0,1,steady,161.93399,161.58507,157.79146,171.66406,0.84873443,1.5082799,1.5082799,0.015625,0.001620003,""
v02,"SIMT CTA-tile-repacked",4096,4096,4096,32,1,2,32,1,2,1,256,48,0,0.83333331,steady,122.29674,122.26296,121.49545,123.32281,1.1238154,1.3241072,1.9971243,0.015625,0.001620003,""
v03,"WMMA Tensor Core, row-packed B",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.8234882,5.901648,5.7778878,6.2202878,23.600795,21.000598,41.940806,0,0,""
v04a,"WMMA tile-repacked 64x128",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.7873602,5.7847586,5.585248,6.020256,23.748125,1.0062426,42.202625,0,0,""
v04b,"WMMA tile-repacked 128x64",4096,4096,4096,32,128,64,32,32,32,1,256,72,32768,0.5,steady,5.9066238,5.8407521,5.4627838,6.0976639,23.268615,0.97980849,41.35049,0,0,""
v04c,"WMMA tile-repacked 128x128",4096,4096,4096,32,128,128,32,32,32,1,512,64,65536,0.33333334,steady,9.0471039,8.993804,8.6709757,9.4260798,15.191486,0.65287455,26.996682,0,0,""
v05a,"vector B + BK64 barrier reduction",4096,4096,4096,32,64,128,64,32,32,1,256,70,32768,0.5,steady,6.1755838,6.1584768,5.997664,6.3287358,22.255216,1.4649795,39.549587,0,0,""
v05b,"vector B + BK128",4096,4096,4096,32,64,128,128,32,32,1,256,92,49152,0.33333334,steady,6.2816639,6.3300285,6.1221762,6.7291842,21.879387,0.98311275,38.881703,0,0,""
v06,"BK64 + 32x64 warp tile",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.4490242,5.4506655,5.2993279,5.6790719,25.222673,1.1528053,44.823033,0,0,""
v07,"BK64 + 32x64 warp + B-reuse grid",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.5956478,5.605052,5.3937922,5.793344,24.561759,0.97379685,43.648528,0,0,""
v08a,"128x64 CTA + BK32 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,32,32,64,1,128,96,32768,0.25,steady,8.6971197,8.5772839,8.2572479,8.8979521,15.802813,0.64339092,28.083066,0,0,""
v08b,"128x64 CTA + BK64 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,64,32,64,1,128,122,32768,0.25,steady,5.6240001,5.6216154,5.4607358,5.742784,24.437936,1.5464295,43.428483,0,0,""
v09s2,"cp.async 2-stage packed-B pipeline",4096,4096,4096,32,64,128,32,32,64,2,128,93,32768,0.25,steady,4.2999678,4.2846847,4.1491199,4.417696,31.962787,1.3079168,56.800842,0,0,""
v09s3,"cp.async 3-stage packed-B pipeline",4096,4096,4096,32,64,128,32,32,64,3,128,93,32768,0.25,steady,4.3311038,4.3275747,4.1773438,4.5279999,31.733008,0.99281106,56.392505,0,0,""
v09s4,"cp.async 4-stage packed-B pipeline",4096,4096,4096,32,64,128,32,32,64,4,128,93,32768,0.25,steady,4.2238722,4.2203074,4.1008959,4.298656,32.538616,1.025387,57.824143,0,0,""
v10a,"stage2 + A shared stride padding",4096,4096,4096,32,64,128,32,32,64,2,128,93,32768,0.25,steady,3.9360321,3.9309375,3.8514881,4.1193919,34.918149,1.0731295,62.052795,0,0,""
v10b,"stage2 + B shared stride padding",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,3.109184,3.1501024,3.0272961,3.565408,44.204187,1.2659373,78.554948,0,0,""
v10c,"stage2 + A/B shared stride padding",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.981632,2.9960575,2.8718081,3.3172159,46.09521,1.0427793,81.915472,0,0,""
final,"selected cp.async 2-stage fused kernel",4096,4096,4096,32,64,128,32,32,64,2,128,93,32768,0.25,steady,4.3284798,4.2926178,4.1523838,4.4927039,31.752246,0.68884046,56.426691,0,0,""
final_cold,"selected cp.async 2-stage fused kernel",4096,4096,4096,32,64,128,32,32,64,2,128,93,32768,0.25,cold-ish,4.623168,4.6403427,4.4990721,4.8732481,29.728306,0.93625838,52.829962,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
