version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.95692801,0.97840959,0.95084798,1.072192,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054655999,0.054768004,0.053984001,0.056031998,0,0,0,0,0,""
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0159681,2.0150399,2.00336,2.0387521,68.175163,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.425472,2.397728,2.2075839,2.594048,56.664827,0,0,0,0,"includes dequant and GEMM"
v00,"scalar fused row-packed",4096,4096,4096,32,16,16,1,1,1,1,256,38,0,1,steady,239.69676,239.70187,237.9671,241.01971,0.57338678,1,1,0.015625,0.001620003,""
v01,"pairwise INT4 load + half2 store",4096,4096,4096,32,1,2,1,1,2,1,256,40,0,1,steady,162.45436,164.32695,158.00414,173.06378,0.84601578,1.4754714,1.4754714,0.015625,0.001620003,""
v02,"SIMT CTA-tile-repacked",4096,4096,4096,32,1,2,32,1,2,1,256,48,0,0.83333331,steady,114.16502,115.49133,113.65005,122.31145,1.2038622,1.4229784,2.0995639,0.015625,0.001620003,""
v03,"WMMA Tensor Core, row-packed B",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.7109761,5.5476828,5.1380162,5.912992,24.065755,19.990457,41.971242,0,0,""
v04a,"WMMA tile-repacked 64x128",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.5239038,5.4766665,5.0464001,5.9734402,24.880765,1.033866,43.392638,0,0,""
v04b,"WMMA tile-repacked 128x64",4096,4096,4096,32,128,64,32,32,32,1,256,72,32768,0.5,steady,5.4246402,5.3321471,5.0294399,5.6450558,25.33605,1.0182987,44.186666,0,0,""
v04c,"WMMA tile-repacked 128x128",4096,4096,4096,32,128,128,32,32,32,1,512,64,65536,0.33333334,steady,8.3980799,8.2916956,7.964128,8.5464964,16.365521,0.64593815,28.541853,0,0,""
v05a,"vector B + BK64 barrier reduction",4096,4096,4096,32,64,128,64,32,32,1,256,70,32768,0.5,steady,5.858912,5.7802629,5.3882241,6.0744319,23.458102,1.4333856,40.91148,0,0,""
v05b,"vector B + BK128",4096,4096,4096,32,64,128,128,32,32,1,256,92,49152,0.33333334,steady,5.976512,5.9748101,5.6827521,6.2779522,22.996516,0.98032298,40.106464,0,0,""
v06,"BK64 + 32x64 warp tile",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.1532798,5.095139,4.675808,5.4759679,26.670191,1.1597492,46.513438,0,0,""
v07,"BK64 + 32x64 warp + B-reuse grid",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,5.1679039,5.1559587,4.7494078,5.7271361,26.594719,0.9971702,46.381815,0,0,""
v08a,"128x64 CTA + BK32 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,32,32,64,1,128,96,32768,0.25,steady,8.0325117,8.0673122,7.5550079,8.7533121,17.110333,0.64337334,29.840823,0,0,""
v08b,"128x64 CTA + BK64 + 32x64 warp (scalar tile load)",4096,4096,4096,32,128,64,64,32,64,1,128,122,32768,0.25,steady,5.4067521,5.4059362,5.0182719,5.9110398,25.419873,1.4856445,44.332856,0,0,""
