version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.96175998,1.0759808,0.950656,1.262912,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055840001,0.055904001,0.055776,0.056159999,0,0,0,0,0,""
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0074561,2.0082817,2.0062721,2.01072,68.46424,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.200736,2.1992385,2.1964481,2.201056,62.451357,0,0,0,0,"includes dequant and GEMM"
v00,"scalar fused row-packed",4096,4096,4096,32,16,16,1,1,1,1,256,38,0,1,steady,242.11433,241.88957,227.92148,254.22006,0.56766137,1,1,0.015625,0.001620003,""
v01,"pairwise INT4 load + half2 store",4096,4096,4096,32,1,2,1,1,2,1,256,40,0,1,steady,150.66829,150.18153,148.63863,151.54369,0.91219562,1.6069362,1.6069362,0.015625,0.001620003,""
v02,"SIMT CTA-tile-repacked",4096,4096,4096,32,1,2,32,1,2,1,256,48,0,0.83333331,steady,120.0169,118.475,111.5097,121.01482,1.1451633,1.2553923,2.0173354,0.015625,0.001620003,""
v03,"WMMA Tensor Core, row-packed B",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.3079038,5.3289599,5.1430082,5.611712,25.893264,22.610979,45.613927,0,0,""
v04a,"WMMA tile-repacked 64x128",4096,4096,4096,32,64,128,32,32,32,1,256,62,32768,0.5,steady,5.2224641,5.2846842,5.0567679,5.713408,26.316879,1.01636,46.360172,0,0,""
v04b,"WMMA tile-repacked 128x64",4096,4096,4096,32,128,64,32,32,32,1,256,72,32768,0.5,steady,5.0200958,5.2065725,5.0146561,5.654304,27.377755,1.0403116,48.229026,0,0,""
v04c,"WMMA tile-repacked 128x128",4096,4096,4096,32,128,128,32,32,32,1,512,64,65536,0.33333334,steady,7.784256,7.9761405,7.7731838,8.3367357,17.656017,0.64490374,31.10308,0,0,""
v05a,"vector B + BK64 barrier reduction",4096,4096,4096,32,64,128,64,32,32,1,256,70,32768,0.5,steady,5.4866238,5.4990973,5.3063679,5.7849278,25.049823,1.4187698,44.128109,0,0,""
v05b,"vector B + BK128",4096,4096,4096,32,64,128,128,32,32,1,256,92,49152,0.33333334,steady,5.4840961,5.6671491,5.4786558,5.946816,25.061369,1.0004609,44.148449,0,0,""
v06,"BK64 + 32x64 warp tile",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,4.7321601,4.8102465,4.6066561,5.16608,29.043598,1.1588991,51.163597,0,0,""
v07,"BK64 + 32x64 warp + B-reuse grid",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,4.7628798,4.8446655,4.7256961,5.0672321,28.856271,0.99355017,50.833601,0,0,""
final,"selected tuned kernel (initially v07)",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,steady,4.75808,4.9081087,4.7184639,5.532032,28.885381,1.0010088,50.884881,0,0,""
final_cold,"selected tuned kernel (initially v07)",4096,4096,4096,32,64,128,64,32,64,1,128,100,32768,0.25,cold-ish,4.8118081,4.9779329,4.797472,5.3870721,28.56285,0.98883414,50.316706,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
