version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.055936,1.0932262,0.954624,1.282112,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055872001,0.056386877,0.054336,0.059744,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.138816,0.14226592,0.13766401,0.178848,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.027616,2.0330577,2.0178239,2.0537281,67.783521,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.4886401,2.4919393,2.20736,2.692224,55.226529,0,0,0,0,"includes dequant and GEMM"
v15a,"TMA packed-B + cp.async padded-A",4096,4096,4096,32,64,128,32,32,64,2,128,96,32784,0.25,steady,3.2040639,3.2247512,2.948864,3.443552,42.895198,1,1,0,0,""
v15b,"TMA A/B with compact A shared tile",4096,4096,4096,32,64,128,32,32,64,2,128,122,32784,0.25,steady,2.9994881,3.0105746,2.753792,3.2287681,45.820803,1.0682036,1.0682036,0,0,""
v15c,"three-stage TMA A/B pipeline",4096,4096,4096,32,64,128,32,32,64,3,128,120,32792,0.25,steady,3.0372479,3.0466692,2.7616639,3.2988479,45.251148,0.98756776,1.0549234,0,0,""
v15d,"four-stage TMA A/B pipeline, compact B",4096,4096,4096,32,64,128,32,32,64,4,128,100,32800,0.25,steady,4.069344,4.0838552,3.799648,4.2534399,33.774228,0.74637285,0.78736618,0,0,""
v15e,"three-stage TMA A/B, leader mbarrier wait",4096,4096,4096,32,64,128,32,32,64,3,128,120,32792,0.25,steady,3.036736,3.0405881,2.8062401,3.2231679,45.258776,1.3400388,1.0551012,0,0,""
