version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.41254401,0.41856927,0.411008,0.43372801,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053888001,0.05724417,0.052416001,0.060511999,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.132608,0.13568097,0.131072,0.164032,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.036576,2.0406001,2.021632,2.0641921,67.485304,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.47808,2.4628751,2.205184,2.6708801,55.46187,0,0,0,0,"includes dequant and GEMM"
v15a,"TMA packed-B + cp.async padded-A",4096,4096,4096,128,64,128,32,32,64,2,128,116,32784,0.25,steady,3.3607681,3.3839374,3.1283519,3.60128,40.895102,1,1,0,0,""
v15b,"TMA A/B with compact A shared tile",4096,4096,4096,128,64,128,32,32,64,2,128,122,32784,0.25,steady,3.2292161,3.2367296,2.9851201,3.4125121,42.561089,1.0407381,1.0407381,0,0,""
v15c,"three-stage TMA A/B pipeline",4096,4096,4096,128,64,128,32,32,64,3,128,118,32792,0.25,steady,3.2634561,3.2670135,2.991168,3.4832959,42.11454,0.98950805,1.0298187,0,0,""
v15d,"four-stage TMA A/B pipeline, compact B",4096,4096,4096,128,64,128,32,32,64,4,128,122,32800,0.25,steady,5.0130558,5.0601287,4.6229758,5.4800959,27.416203,0.65099138,0.67040309,0,0,""
v15e,"three-stage TMA A/B, leader mbarrier wait",4096,4096,4096,128,64,128,32,32,64,3,128,118,32792,0.25,steady,3.3264,3.3244495,3.0285759,3.562016,41.317626,1.5070514,1.0103319,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,steady,3.2812481,3.2844121,3.0097599,3.5055039,41.886182,1.0137606,1.0242347,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.2778239,3.281146,3.0112,3.488704,41.929938,1.0010446,1.0253046,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
