version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.056064,1.0883085,0.95468801,1.28512,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055904001,0.056301214,0.054591998,0.058143999,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.037503999,0.037570979,0.036288001,0.038816001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13891201,0.14237481,0.13776,0.180672,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0572159,2.0557208,2.03072,2.074656,66.808229,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.4732161,2.5121417,2.2160959,3.216192,55.570945,0,0,0,0,"includes dequant and GEMM"
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,32,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.5403199,2.5709472,2.2894721,3.1384001,54.10301,1,1,0,0,""
v16c0,"register MMA + 2-stage TMA, no swizzle",4096,4096,4096,32,64,128,32,32,64,2,128,96,12816,0.41666666,steady,2.4844799,2.5118434,2.2184,3.1355519,55.319004,1.0224755,1.0224755,0,0,""
v16d2,"register MMA warp tile 64x32",4096,4096,4096,32,64,128,32,64,32,2,128,93,14848,0.41666666,steady,2.490592,2.5760381,2.1912961,3.3055041,55.183247,0.99754593,1.0199663,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9462719,3.0787084,2.6945281,3.8041601,46.648428,0.84533678,0.86221503,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,cold-ish,2.952512,3.0106452,2.66752,3.6777921,46.549837,0.99788648,0.86039274,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57404798,0.60567123,0.570144,0.72022402,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054111999,0.054655984,0.053183999,0.056095999,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.037471998,0.038204379,0.036192,0.038752001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.136704,0.14054018,0.13494401,0.17456,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.05792,2.0575428,2.0328,2.074784,66.785373,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.459584,2.4879878,2.2152319,2.945632,55.878943,0,0,0,0,"includes dequant and GEMM"
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,64,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.535104,2.5589066,2.2624321,3.1277759,54.214325,1,1,0,0,""
v16c0,"register MMA + 2-stage TMA, no swizzle",4096,4096,4096,64,64,128,32,32,64,2,128,96,12816,0.41666666,steady,2.4556799,2.5009377,2.22736,2.99312,55.967781,1.032343,1.032343,0,0,""
v16d2,"register MMA warp tile 64x32",4096,4096,4096,64,64,128,32,64,32,2,128,93,14848,0.41666666,steady,2.486656,2.5687346,2.2206719,3.256032,55.270595,0.98754309,1.0194832,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,steady,3.3132801,3.4246626,3.0194881,4.137888,41.481236,0.75051184,0.76513423,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.315232,3.3614011,3.020576,3.86256,41.456813,0.99941123,0.76468374,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.41264001,0.42061388,0.41094401,0.43622401,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053856,0.054735787,0.05232,0.054912001,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.037439998,0.037255038,0.036224,0.038176,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.133568,0.13707334,0.131872,0.175264,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.0560961,2.0529735,2.0307839,2.073056,66.844616,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.4606719,2.4927297,2.213248,2.8532159,55.854238,0,0,0,0,"includes dequant and GEMM"
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,128,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.511904,2.539525,2.2624321,3.028096,54.71505,1,1,0,0,""
v16c0,"register MMA + 2-stage TMA, no swizzle",4096,4096,4096,128,64,128,32,32,64,2,128,98,12816,0.33333334,steady,2.5448959,2.5650294,2.271872,3.2633281,54.005727,0.98703606,0.98703606,0,0,""
v16d2,"register MMA warp tile 64x32",4096,4096,4096,128,64,128,32,64,32,2,128,93,14848,0.41666666,steady,2.4868481,2.5545998,2.2212479,3.2634239,55.266324,1.0233419,1.0100754,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,steady,3.2823999,3.3251967,3.008224,4.0122561,41.871484,0.75763106,0.76526447,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.3023679,3.3495295,3.1448641,3.8720319,41.618304,0.99395341,0.76063723,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
