version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.1177599,1.1033398,0.95404798,1.284768,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055904001,0.057391025,0.054623999,0.057151999,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13888,0.14251642,0.13744,0.18092801,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.038976,2.0416763,2.0208321,2.0641279,67.405873,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.4583681,2.4716382,2.2159679,2.7032001,55.906581,0,0,0,0,"includes dequant and GEMM"
v16a,"warp-streamed 16x16 FP32 scratch epilogue",4096,4096,4096,32,64,128,32,32,64,2,128,96,24064,0.33333334,steady,2.6553919,2.6685166,2.4039681,2.9149759,51.758444,1,1,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.918112,2.9201922,2.6947839,3.1391039,47.098587,0.90996915,0.90996915,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,cold-ish,2.9309759,2.9539371,2.697216,3.1644161,46.891874,0.99561107,0.90597535,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57299203,0.60739398,0.570144,0.72272003,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054143999,0.054562882,0.053024001,0.055456001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13648,0.13929504,0.134976,0.173088,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.0538559,2.048919,2.022944,2.0666239,66.917525,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.4907839,2.4882965,2.227808,2.69712,55.178995,0,0,0,0,"includes dequant and GEMM"
v16a,"warp-streamed 16x16 FP32 scratch epilogue",4096,4096,4096,64,64,128,32,32,64,2,128,96,24064,0.33333334,steady,2.90976,2.9070482,2.6476481,3.1234879,47.233777,1,1,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,steady,3.28896,3.3014839,3.021184,3.5497279,41.787968,0.8847052,0.8847052,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.3053761,3.3199415,3.1691201,3.536864,41.580429,0.9950335,0.88031133,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.41289601,0.41688782,0.41097599,0.433792,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053920001,0.054239687,0.052352,0.054880001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13248,0.13330242,0.13142399,0.134304,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.0569921,2.0532439,2.022208,2.068928,66.8155,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.4726081,2.4664402,2.2029121,2.7208641,55.584609,0,0,0,0,"includes dequant and GEMM"
v16a,"warp-streamed 16x16 FP32 scratch epilogue",4096,4096,4096,128,64,128,32,32,64,2,128,96,24064,0.33333334,steady,2.8718081,2.8715284,2.6389439,3.104192,47.857987,1,1,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,steady,3.278688,3.2660456,3.0069439,3.472064,41.918888,0.87590161,0.87590161,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.2537279,3.2746549,3.0044479,3.4590721,42.240457,1.0076712,0.88262084,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
