version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.0351681,1.0933785,0.95324802,1.288192,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055936001,0.056255557,0.054272,0.057248,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.037344001,0.037165653,0.036063999,0.037856001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.138752,0.14346199,0.137376,0.183424,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0428481,2.0400805,2.020256,2.0616,67.278107,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.5091839,2.5034981,2.2092481,2.7338879,54.774365,0,0,0,0,"includes dequant and GEMM"
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,32,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.51792,2.5322411,2.2766719,2.7774401,54.584321,1,1,0,0,""
v16c0,"register MMA + 2-stage TMA, no swizzle",4096,4096,4096,32,64,128,32,32,64,2,128,96,12816,0.41666666,steady,2.4459519,2.4614918,2.2180481,2.68944,56.190374,1.0294233,1.0294233,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9182401,2.9300401,2.6832321,3.14656,47.096521,0.83815995,0.86282141,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,cold-ish,2.916256,2.9286227,2.65728,3.1518719,47.128563,1.0006803,0.86340845,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57318401,0.60414177,0.57084799,0.71587199,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053952001,0.054484073,0.052767999,0.055744,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.036704,0.037236057,0.03616,0.038304001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.136384,0.13952659,0.13488001,0.174464,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.057472,2.0553207,2.0208001,2.075552,66.799915,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.4880641,2.4778349,2.2112639,2.6889601,55.239315,0,0,0,0,"includes dequant and GEMM"
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,64,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.5334401,2.52617,2.261888,2.7335999,54.249932,1,1,0,0,""
v16c0,"register MMA + 2-stage TMA, no swizzle",4096,4096,4096,64,64,128,32,32,64,2,128,96,12816,0.41666666,steady,2.49632,2.4782963,2.2264321,2.698144,55.056625,1.0148699,1.0148699,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,steady,3.3,3.2965381,3.018368,3.5128641,41.648168,0.75646062,0.76770914,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.28704,3.2955246,3.0175681,3.4973121,41.812376,1.0039427,0.77073602,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.41270399,0.41612992,0.41020799,0.43392,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053856,0.053991687,0.052416001,0.054912001,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.037471998,0.037869226,0.036224,0.04352,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.132384,0.13479321,0.131264,0.16854399,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.0540161,2.0508924,2.022752,2.073216,66.912305,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.473568,2.4536986,2.2030399,2.675648,55.563039,0,0,0,0,"includes dequant and GEMM"
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,128,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.5252161,2.5095704,2.262048,2.7191999,54.426611,1,1,0,0,""
v16c0,"register MMA + 2-stage TMA, no swizzle",4096,4096,4096,128,64,128,32,32,64,2,128,98,12816,0.33333334,steady,2.5285759,2.5173039,2.272512,2.7286079,54.354292,0.99867127,0.99867127,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,steady,3.2587841,3.2821136,3.005312,3.502784,42.174919,0.77592619,0.77489519,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.3013761,3.3164017,3.00752,3.514848,41.630808,0.98709869,0.76489804,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
