version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.094496,1.1204833,0.95520002,1.2890559,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.056000002,0.056393601,0.055551998,0.057312001,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.03712,0.037305601,0.036127999,0.038336001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13888,0.1437216,0.13711999,0.17641599,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.022624,2.0230448,2.0107839,2.0344639,67.950817,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.489408,2.4772897,2.212096,2.7025599,55.209493,0,0,0,0,"includes dequant and GEMM"
v16a,"warp-streamed 16x16 FP32 scratch epilogue",4096,4096,4096,32,64,128,32,32,64,2,128,96,24064,0.33333334,steady,2.6205759,2.6145537,2.3810561,2.8226559,52.446088,1,1,0,0,""
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,32,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.482368,2.5055408,2.2535679,2.7279041,55.366067,1.0556758,1.0556758,0,0,""
v16c0,"register MMA + 2-stage TMA, no swizzle",4096,4096,4096,32,64,128,32,32,64,2,128,96,12816,0.41666666,steady,2.453088,2.4314401,2.1849921,2.6373761,56.026914,1.011936,1.0682763,0,0,""
v16c1,"register MMA + 2-stage TMA + shared swizzle",4096,4096,4096,32,64,128,32,32,64,2,128,128,12816,0.33333334,steady,2.6530559,2.6746831,2.413888,2.918112,51.804017,0.92462735,0.98775751,0,0,""
v16c2,"register MMA + 3-stage TMA + shared swizzle",4096,4096,4096,32,64,128,32,32,64,3,128,126,19224,0.33333334,steady,2.6952641,2.7039711,2.4621119,2.84816,50.992759,0.98433987,0.9722891,0,0,""
v16c3,"register MMA + 3-stage swizzled TMA + DMA warp",4096,4096,4096,32,64,128,32,32,64,3,160,128,19224,0.3125,steady,2.8785281,2.8664834,2.6480639,2.992224,47.746261,0.93633412,0.91038746,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9193599,2.8951793,2.6538241,3.105696,47.078455,0.98601344,0.89765427,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,cold-ish,2.9224961,2.9344289,2.6984,3.1248641,47.027934,0.99892688,0.89669099,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
