version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.95574403,1.0392783,0.950688,1.278976,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055744,0.056400001,0.054559998,0.059935998,0,0,0,0,0,""
repack_mma,"lane-native mma.m16n8k16 INT4 fragments",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.036575999,0.036750402,0.036127999,0.037503999,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.139616,0.151904,0.137312,0.195392,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0176001,2.0186369,2.007488,2.0275841,68.120019,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.4667521,2.4406655,2.211328,2.5484159,55.716566,0,0,0,0,"includes dequant and GEMM"
v16a,"warp-streamed 16x16 FP32 scratch epilogue",4096,4096,4096,32,64,128,32,32,64,2,128,96,24064,0.33333334,steady,2.675456,2.7218385,2.38304,2.9574721,51.37029,1,1,0,0,""
v16b,"lane-native INT4 decode + explicit register MMA",4096,4096,4096,32,64,128,32,32,64,2,128,94,14848,0.41666666,steady,2.4515519,2.476341,2.248064,2.7995839,56.06202,1.0913316,1.0913316,0,0,""
v16c0,"register MMA + 2-stage TMA, no swizzle",4096,4096,4096,32,64,128,32,32,64,2,128,96,12816,0.41666666,steady,2.4762559,2.4802895,2.1845441,2.68752,55.502726,0.99002366,1.0804441,0,0,""
v16c1,"register MMA + 2-stage TMA + shared swizzle",4096,4096,4096,32,64,128,32,32,64,2,128,128,12816,0.33333334,steady,2.7477119,2.8116832,2.441056,3.3601921,50.019419,0.90120653,0.97370327,0,0,""
v16c2,"register MMA + 3-stage TMA + shared swizzle",4096,4096,4096,32,64,128,32,32,64,3,128,126,19224,0.33333334,steady,2.81616,2.9026592,2.4239039,3.4358399,48.803674,0.97569454,0.95003696,0,0,""
v16c3,"register MMA + 3-stage swizzled TMA + DMA warp",4096,4096,4096,32,64,128,32,32,64,3,160,128,19224,0.3125,steady,2.9614401,3.1213887,2.7759681,3.924736,46.4095,0.95094274,0.90343075,0,0,""
v16c4,"register MMA + 3-stage TMA, no swizzle",4096,4096,4096,32,64,128,32,32,64,3,128,98,19224,0.33333334,steady,2.616256,2.7393296,2.242656,3.50032,52.532685,1.1319382,1.0226278,0,0,""
v16c5,"register MMA + 4-stage TMA, no swizzle",4096,4096,4096,32,64,128,32,32,64,4,128,96,25632,0.25,steady,2.70368,2.8439214,2.516896,3.5949759,50.83403,0.9676648,0.9895609,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.9355199,2.9489536,2.8169279,3.1112959,46.819288,0.92102254,0.9114079,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,cold-ish,2.9624319,2.9591794,2.8417921,3.1108799,46.393962,0.9909156,0.90312828,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
