version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.042304,1.0959537,0.95756799,1.290464,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055936001,0.056817908,0.054687999,0.057824001,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.041568,0.042381477,0.039872002,0.046879999,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.033440001,0.033492651,0.03232,0.034047998,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,32,64,128,32,32,64,2,128,-1,0,-1,one-shot,3.8170879,3.8607442,3.5216,4.125792,36.006232,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.139744,0.14406516,0.137824,0.18694399,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.063488,2.0623085,2.0310719,2.077728,66.605162,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.4770241,2.5302939,2.24384,3.2327361,55.485514,0,0,0,0,"includes dequant and GEMM"
v17a,"TMA baseline with 64x32 warp tile",4096,4096,4096,32,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.4272959,2.4543006,2.1680641,3.0816,56.622249,1,1,0,0,""
v17b,"64x32 TMA + ldmatrix.x4 A fragments",4096,4096,4096,32,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.367456,2.4564147,2.1537919,3.224416,58.053436,1.0252761,1.0252761,0,0,""
v17c,"ldmatrix + group32 k16 fragment-pair repack",4096,4096,4096,32,64,128,32,64,32,2,128,98,12816,0.33333334,steady,2.483072,2.5172508,2.2062719,3.130048,55.350369,0.95343829,0.97753745,0,0,""
v17d,"fragment-pair TMA + full/empty mbarrier handoff",4096,4096,4096,32,64,128,32,64,32,2,128,98,12832,0.33333334,steady,2.4897921,2.5144763,2.20736,3.073312,55.200976,0.99730095,0.97489903,0,0,""
