version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.41395199,0.41861036,0.41091201,0.435808,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053888001,0.054112554,0.052352,0.055167999,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.039455999,0.039328158,0.037439998,0.039999999,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.031328,0.031984515,0.030144,0.032575998,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,128,64,128,32,64,32,2,128,-1,0,-1,one-shot,2.8955841,2.8910956,2.6456959,3.1333439,47.465019,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.132544,0.13593712,0.13123199,0.168864,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.05776,2.0582259,2.029536,2.073344,66.790565,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.4765761,2.461946,2.204896,2.6799359,55.495551,0,0,0,0,"includes dequant and GEMM"
v18a,"fragment-pair TMA + two packed scale registers",4096,4096,4096,128,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.4036801,2.3979909,2.1455679,2.6307521,57.178555,1,1,0,0,""
v18b,"compact pair/scale + computed-phase full/empty TMA",4096,4096,4096,128,64,128,32,64,32,2,128,96,12832,0.41666666,steady,2.4001279,2.3855653,2.1431041,2.607296,57.263179,1.00148,1.00148,0,0,""
v18c,"compact full/empty TMA + serialized BFE/PRMT decode",4096,4096,4096,128,64,128,32,64,32,2,128,96,12832,0.41666666,steady,2.4136,2.3927932,2.159168,2.611424,56.943551,0.99441826,0.99589001,0,0,""
final,"group-aware V18/V17: compact pair g32, ldmatrix g64, pair g128",4096,4096,4096,128,64,128,32,64,32,2,128,100,12816,0.33333334,steady,2.4536321,2.4475346,2.2052801,2.670336,56.014491,0.98368454,0.9796416,0,0,""
final_cold,"group-aware V18/V17: compact pair g32, ldmatrix g64, pair g128",4096,4096,4096,128,64,128,32,64,32,2,128,100,12816,0.33333334,cold-ish,2.4340799,2.4439328,2.1821439,2.697216,56.464438,1.0080327,0.98751076,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
