version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.64140803,0.6402387,0.57001603,0.72550398,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054655999,0.055532023,0.052767999,0.056543998,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.040192001,0.039840419,0.038240001,0.040704001,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.032224,0.034152847,0.030592,0.032671999,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,64,64,128,32,64,32,2,128,-1,0,-1,one-shot,3.3257279,3.3246946,2.8820801,3.6360321,41.325976,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.136032,0.14538644,0.134912,0.187392,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.0600641,2.0598202,2.0224321,2.0729921,66.715863,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.64656,2.6537607,2.2135999,2.957408,51.931169,0,0,0,0,"includes dequant and GEMM"
v18a,"fragment-pair TMA + two packed scale registers",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.553952,2.534894,2.145824,2.84656,53.814228,1,1,0,0,""
v18b,"compact pair/scale + computed-phase full/empty TMA",4096,4096,4096,64,64,128,32,64,32,2,128,96,12832,0.41666666,steady,2.5798399,2.5877337,2.1601281,2.8676801,53.274217,0.98996528,0.98996528,0,0,""
v18c,"compact full/empty TMA + serialized BFE/PRMT decode",4096,4096,4096,64,64,128,32,64,32,2,128,96,12832,0.41666666,steady,2.6051519,2.6103685,2.1703999,2.91856,52.756599,0.99028389,0.98034667,0,0,""
final,"group-aware V17: ldmatrix TMA g32/g64, pair-repack TMA g128",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.59536,2.5922875,2.1566081,2.8871679,52.955641,1.0037728,0.98404535,0,0,""
final_cold,"group-aware V17: ldmatrix TMA g32/g64, pair-repack TMA g128",4096,4096,4096,64,64,128,32,64,32,2,128,96,12816,0.41666666,cold-ish,2.5643201,2.5728509,2.1338241,2.864064,53.596645,1.0121045,0.99595678,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
