version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.236128,1.156919,0.95520002,1.291392,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055039998,0.055973101,0.05424,0.060959999,0,0,0,0,0,""
repack_mma,"lane-native MMA fragments + tile-contiguous scales",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.040479999,0.040642247,0.039840002,0.041696001,0,0,0,0,0,"weights and scales; no allocation in timed region"
repack_mma_pair,"two k16 fragments per uint32 + tile-contiguous scales",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.032480001,0.03292736,0.031936001,0.03424,0,0,0,0,0,"weights and scales; no allocation in timed region"
end_to_end,"quantize + final-layout repack + fused final GEMM",4096,4096,4096,32,64,128,32,64,32,2,128,-1,0,-1,one-shot,3.9424641,3.9474456,3.616576,4.1733441,34.861181,0,0,0,0,"preprocessing is normally amortized for inference weights"
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.139072,0.14837693,0.137472,0.18896,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.039392,2.0406444,2.0187199,2.0589759,67.392122,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.6504641,2.6474741,2.219264,2.9520321,51.854675,0,0,0,0,"includes dequant and GEMM"
v18a,"fragment-pair TMA + two packed scale registers",4096,4096,4096,32,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.4199359,2.4406381,2.133152,2.7061119,56.794459,1,1,0,0,""
v18b,"compact pair/scale + computed-phase full/empty TMA",4096,4096,4096,32,64,128,32,64,32,2,128,96,12832,0.41666666,steady,2.6229761,2.6169782,2.1354561,2.8664,52.398097,0.9225917,0.9225917,0,0,""
v18c,"compact full/empty TMA + serialized BFE/PRMT decode",4096,4096,4096,32,64,128,32,64,32,2,128,96,12832,0.41666666,steady,2.6677439,2.6434011,2.162816,2.958528,51.518795,0.98321883,0.90710953,0,0,""
final,"group-aware V17: ldmatrix TMA g32/g64, pair-repack TMA g128",4096,4096,4096,32,64,128,32,64,32,2,128,96,12816,0.41666666,steady,2.43296,2.4491189,2.1210239,2.7708161,56.490428,1.0965013,0.99464681,0,0,""
final_cold,"group-aware V17: ldmatrix TMA g32/g64, pair-repack TMA g128",4096,4096,4096,32,64,128,32,64,32,2,128,96,12816,0.41666666,cold-ish,2.690048,2.6759186,2.1207359,2.973824,51.091636,0.90442997,0.89958839,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
