version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.955616,0.95574486,0.95087999,0.957344,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055904001,0.056001592,0.054464001,0.056352001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.138304,0.13849698,0.137568,0.139296,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.0438721,2.0433722,2.015712,2.056704,67.2444,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.2407041,2.239331,2.215296,2.24368,61.337397,0,0,0,0,"includes dequant and GEMM"
v14a,"final pipeline with 64x32 warp tile",4096,4096,4096,32,64,128,32,64,32,2,128,93,32768,0.25,steady,2.774272,2.8113482,2.7559359,3.0387521,49.540548,1,1,0,0,""
v14b,"final pipeline with 64x64 warp tile",4096,4096,4096,32,64,128,32,64,64,2,64,202,32768,0.125,steady,4.0485439,4.0917039,4.0360322,4.3178558,33.947749,0.68525179,0.68525179,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,steady,2.7002239,2.7385514,2.6782401,2.8903999,50.899095,1.4993364,1.0274229,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,32,64,128,32,32,64,2,128,94,32768,0.25,cold-ish,2.7014401,2.7499397,2.69312,3.03264,50.87618,0.99954981,1.0269604,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57216001,0.57233429,0.57052797,0.573376,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054016002,0.054022714,0.053087998,0.054816,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.135968,0.13617219,0.134976,0.13699199,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.05264,2.0516737,2.0260479,2.06144,66.957165,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.2348161,2.2347393,2.2315519,2.237952,61.499,0,0,0,0,"includes dequant and GEMM"
v14a,"final pipeline with 64x32 warp tile",4096,4096,4096,64,64,128,32,64,32,2,128,96,32768,0.25,steady,3.0284481,3.0317233,3.024384,3.031296,45.382635,1,1,0,0,""
v14b,"final pipeline with 64x64 warp tile",4096,4096,4096,64,64,128,32,64,64,2,64,208,32768,0.125,steady,4.6802878,4.6807976,4.6762242,4.6829438,29.365492,0.6470645,0.6470645,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,steady,3.020448,3.0271516,3.01616,3.0250881,45.502838,1.5495343,1.0026487,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.0208001,3.0207531,3.016736,3.0249281,45.497533,0.99988341,1.0025318,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.412256,0.41232818,0.410272,0.41312,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054016002,0.053895999,0.052384,0.054143999,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13203201,0.13227455,0.13129599,0.13308799,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.05264,2.0529706,2.0435841,2.0576639,66.957165,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.2297921,2.2735662,2.225184,2.552448,61.637564,0,0,0,0,"includes dequant and GEMM"
v14a,"final pipeline with 64x32 warp tile",4096,4096,4096,128,64,128,32,64,32,2,128,96,32768,0.25,steady,3.01824,3.0584555,3.0139201,3.289248,45.536125,1,1,0,0,""
v14b,"final pipeline with 64x64 warp tile",4096,4096,4096,128,64,128,32,64,64,2,64,208,32768,0.125,steady,4.6168318,4.6980267,4.6141438,5.0589442,29.769106,0.65374701,0.65374701,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,steady,3.0121281,3.0553479,3.0078721,3.3454721,45.628522,1.5327475,1.0020291,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,128,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.0136321,3.0163922,3.010272,3.016896,45.605751,0.99950093,1.001529,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
