version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.57177597,0.60576123,0.56768,0.720608,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054143999,0.056102075,0.052960001,0.062015999,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13587201,0.13875102,0.134592,0.17615999,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.0403841,2.0373876,2.0178881,2.0587521,67.359355,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.4674881,2.4567428,2.212064,2.677984,55.699947,0,0,0,0,"includes dequant and GEMM"
v15a,"TMA packed-B + cp.async padded-A",4096,4096,4096,64,64,128,32,32,64,2,128,116,32784,0.25,steady,3.380064,3.3956475,3.1207359,3.6088319,40.661642,1,1,0,0,""
v15b,"TMA A/B with compact A shared tile",4096,4096,4096,64,64,128,32,32,64,2,128,122,32784,0.25,steady,3.2456639,3.2734461,2.9911039,3.503264,42.345406,1.0414091,1.0414091,0,0,""
v15c,"three-stage TMA A/B pipeline",4096,4096,4096,64,64,128,32,32,64,3,128,118,32792,0.25,steady,3.3016,3.2955134,3.0111041,3.483232,41.627985,0.98305788,1.0237655,0,0,""
v15d,"four-stage TMA A/B pipeline, compact B",4096,4096,4096,64,64,128,32,32,64,4,128,122,32800,0.25,steady,5.062624,5.0534325,4.6239362,5.4917121,27.14777,0.65215193,0.66765061,0,0,""
v15e,"three-stage TMA A/B, leader mbarrier wait",4096,4096,4096,64,64,128,32,32,64,3,128,118,32792,0.25,steady,3.353792,3.3480258,3.0493441,3.5493441,40.980167,1.5095224,1.0078335,0,0,""
final,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,steady,3.2813759,3.2741728,3.016288,3.4811201,41.88455,1.0220688,1.0300752,0,0,""
final_cold,"selected stage2 kernel, A stride 40 / B stride 152",4096,4096,4096,64,64,128,32,32,64,2,128,96,32768,0.25,cold-ish,3.258528,3.2907269,3.0187521,3.4847679,42.178233,1.0070118,1.0372978,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
