version,description,M,N,K,group_size,BM,BN,BK,warp_tile_m,warp_tile_n,stages,threads,registers_per_thread,smem_bytes,occupancy,cache_mode,median_ms,mean_ms,min_ms,p95_ms,effective_tflops,speedup_vs_previous,speedup_vs_baseline,max_abs_error,rmse,notes
quantize,"GPU symmetric group quantization",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,preprocess,1.056704,1.0880139,0.95475203,1.282016,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,32,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.055936001,0.056472961,0.054111999,0.058880001,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,32,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.138944,0.14455968,0.13772801,0.187648,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.026912,2.0297058,2.020256,2.047008,67.807066,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,32,0,0,0,0,0,0,0,-1,0,-1,steady,2.489152,2.4945436,2.210752,2.7495041,55.215172,0,0,0,0,"includes dequant and GEMM"
final,"group-adaptive: cp.async g32/g64, TMA A/B g128",4096,4096,4096,32,64,128,32,32,64,2,128,94,32784,0.25,steady,2.951232,2.9483063,2.680192,3.1715519,46.570028,1,1,0,0,""
final_cold,"group-adaptive: cp.async g32/g64, TMA A/B g128",4096,4096,4096,32,64,128,32,32,64,2,128,94,32784,0.25,cold-ish,2.966496,2.9591923,2.6767361,3.165184,46.330403,0.99485451,0.99485452,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.572128,0.60821319,0.56992,0.71824002,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,64,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.054016002,0.054155208,0.052928001,0.055199999,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,64,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.13612799,0.14041825,0.134656,0.178432,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.035392,2.0379729,2.0198081,2.060128,67.524561,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,64,0,0,0,0,0,0,0,-1,0,-1,steady,2.464736,2.4469268,2.2117119,2.6725121,55.76214,0,0,0,0,"includes dequant and GEMM"
final,"group-adaptive: cp.async g32/g64, TMA A/B g128",4096,4096,4096,64,64,128,32,32,64,2,128,96,32784,0.25,steady,3.2972479,3.2832406,3.0198081,3.4778559,41.68293,1,1,0,0,""
final_cold,"group-adaptive: cp.async g32/g64, TMA A/B g128",4096,4096,4096,64,64,128,32,32,64,2,128,96,32784,0.25,cold-ish,3.259392,3.2785418,3.0187521,3.4600639,42.167052,1.0116144,1.0116144,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
quantize,"GPU symmetric group quantization",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,preprocess,0.41241601,0.41591045,0.40982401,0.43337601,0,0,0,0,0,""
repack,"CTA tile-contiguous BN128 BK32",4096,4096,4096,128,0,128,32,0,0,0,256,-1,0,-1,preprocess,0.053920001,0.053883217,0.052255999,0.054752,0,0,0,0,0,""
dequant,"materialize packed INT4 B as FP16",4096,4096,4096,128,0,0,0,0,0,0,256,-1,0,-1,baseline-component,0.132512,0.1350541,0.131392,0.162912,0,0,0,0,0,"separately timed component of dequant + cuBLAS"
cublas_fp16,"cuBLAS FP16 Tensor Core on dequantized B",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.0365119,2.0395217,2.0208321,2.0600641,67.48743,0,0,0,0,"not workload-equivalent: B already materialized"
separate,"dequant kernel + cuBLAS",4096,4096,4096,128,0,0,0,0,0,0,0,-1,0,-1,steady,2.440192,2.4452479,2.2063999,2.671936,56.323008,0,0,0,0,"includes dequant and GEMM"
final,"group-adaptive: cp.async g32/g64, TMA A/B g128",4096,4096,4096,128,64,128,32,32,64,2,128,122,32784,0.25,steady,3.2603199,3.2423697,2.98528,3.443392,42.155051,1,1,0,0,""
final_cold,"group-adaptive: cp.async g32/g64, TMA A/B g128",4096,4096,4096,128,64,128,32,32,64,2,128,122,32784,0.25,cold-ish,3.2839041,3.289628,2.9839361,3.474272,41.852305,0.99281824,0.99281827,0,0,"128 MiB cache-disturb kernel before each untimed GEMM event"
